counts,proportion,pair,iter,support_err,confidence_err,lift_err
157,0.1,F13-F5,72,0.6369426751592362,0.6369426751592363,0.6369426751592231
157,0.1,F13-F5,73,18.471337579617835,18.47133757961784,18.471337579617852
157,0.1,F13-F5,74,6.369426751592362,6.369426751592363,6.369426751592343
157,0.1,F13-F5,75,31.847133757961764,31.84713375796177,31.847133757961778
157,0.1,F13-F5,76,19.745222929936325,19.745222929936325,19.745222929936308
157,0.1,F13-F5,77,10.828025477706998,10.828025477707003,10.828025477707017
157,0.1,F13-F5,78,7.006369426751599,7.006369426751599,7.006369426751621
157,0.1,F13-F5,79,14.649681528662398,14.649681528662406,14.649681528662411
157,0.1,F13-F5,80,6.369426751592362,6.369426751592363,6.369426751592343
157,0.1,F13-F5,81,17.8343949044586,17.834394904458588,17.834394904458563
